id,title,category_id,category_name,performer,creator,address,price,description,venue_type,tags,latitude,longitude
E0-001-097876536-6,Bruno Mars,music,Concerts &amp; Tour Dates,Bruno Mars,sdfgyhjkm,Route des Batailleux 3 Gd-Saconnex,None,None,address,bruno mars music pop rock ticketbiscom ticketnetworkcom tickets viagogocom,46.2337626,6.112297
E0-001-101271887-2,Metallica,music,Concerts &amp; Tour Dates,Metallica,wbrecords,Case Postale 112 Grand-Saconnex,None,None,address,band concert hard heavymetal metal metallicatheband music rock thrash tickets viagogocom,46.2,6.16667
E0-001-109531416-5,Nickelback,music,Concerts &amp; Tour Dates,Nickelback,official_nickelback,Route des Batailleux 3 Gd-Saconnex,None,None,address,all alltherightreasons alternative band chad concert concerts curb faves is kroeger live long music my nickelback nickleback of one pop reasons right road roadrunnerrecords rock rocknrolln rockstar side silver state the ticketbiscom tickets up viagogocom,46.2337626,6.112297
E0-001-100343255-4,Harlem Globetrotters,performing_arts,Performing Arts,Harlem Globetrotters,chuck,Route des Batailleux 3 Gd-Saconnex,None,None,address,basketball globetrotters performing_arts sports tickets viagogocom,46.2337626,6.112297
E0-001-099792975-2,James Blunt,music,Concerts &amp; Tour Dates,James Blunt,bobfather,Route des Batailleux 3 Gd-Saconnex,None,None,address,concerts music pop rock tickets viagogocom,46.2337626,6.112297
E0-001-103160470-1,Gorillaz,music,Concerts &amp; Tour Dates,Gorillaz,gorillaz1,Route des Batailleux 3 Gd-Saconnex,None, Children under 6 will not be admitted. ,address,alternative gorillaz hiphop music rock tickets viagogocom,46.2337626,6.112297
E0-001-112332257-1,OREN AMBARCHI & CRYS COLE DUO,music,Concerts &amp; Tour Dates,Oren Ambarchi,jessemellon,None,None,None,named place,cave12org electronic music,46.2,6.16667
E0-001-108822898-5,Iron Maiden Geneva,music,Concerts &amp; Tour Dates,Iron Maiden,judaspriest1984,Route des Batailleux 3 Gd-Saconnex,202.73,The time has come to purchase your Iron Maiden tickets  because it&#39;s true  Iron Maiden is indeed setting to perform in the ever impressive Arena Geneva! Considering that Iron Maiden  has since become one of the most popular artists this decade has to offer  you know your in for a show your set to remember for the rest of your life!  So make sure you get your Iron Maiden Geneva tickets and you attend this unforgettable show in person. Sing along to some of the greatest songs  dance and jump until it hurts! Rest assured- you will have the time of your life! So what&#39;s taking you so long? Don&#39;t hesitate and get your Iron Maiden Geneva tickets right here  at StubHub!,address,2008 america centro colombia concert en heavy httpindonesiahitscom httpironmaidenindonesiacom in indonesiahits iron ironmaidenhits ironmaidenindonesia maiden maidon metal music rock ticketbiscom tickets virginia,46.2337626,6.112297
E0-001-115254639-3,Nickihndrxx Tour: Nicki Minaj & Future,music,Concerts &amp; Tour Dates,NICKI MINAJ,missacm123,Route des Batailleux 3 Gd-Saconnex,None,None,address,demand hip hiphop hop min minaj music nicki nikki pop randb rap rap_hiphop rb ticketnetworkcom tickets viagogocom,46.2337626,6.112297
E0-001-110471423-0,Lewis Floyd Henry - Gena Festival Open Air,music,Concerts &amp; Tour Dates,Lewis Floyd Henry,evdb,None,None,None,named place,alternative festival festivals_parades gigatoolscom music,46.2,6.16667
E0-001-109430890-9@2018091900,Walking with Dinosaurs,performing_arts,Performing Arts,Walking With Dinosaurs,insightmanagement,Route des Batailleux 3 Gd-Saconnex,None,None,address,dino dinosaur dinosaurs performing_arts science tickets tour travel viagogocom,46.2337626,6.112297
